date,service,cost,usage,unit,region,team,project,environment,resource_id
2026-01-19,CloudFront,12.4127,71.52,GB,eu-west-1,frontend,ml-pipeline,development,res-300427
2026-01-19,CloudFront,19.7172,25.85,GB,eu-west-1,ml,analytics,staging,res-522106
2026-01-19,CloudFront,4.1329,14.06,GB,ap-southeast-1,backend,web-app,development,res-556024
2026-01-19,CloudFront,25.383,37.93,GB,us-east-1,ml,analytics,development,res-968513
2026-01-19,CloudFront,6.7107,65.47,GB,ap-southeast-1,ml,analytics,production,res-497320
2026-01-19,EBS,24.2656,19.06,GB-Month,eu-west-1,frontend,mobile-api,staging,res-686784
2026-01-19,EBS,11.8919,40.71,GB-Month,eu-west-1,infra,ml-pipeline,staging,res-584330
2026-01-19,EBS,13.7451,66.64,GB-Month,us-east-1,infra,platform,development,res-256719
2026-01-19,EBS,26.0618,97.77,GB-Month,us-east-1,backend,ml-pipeline,staging,res-892468
2026-01-19,EBS,33.3883,24.36,GB-Month,ap-southeast-1,backend,platform,production,res-205438
2026-01-19,EKS,107.2382,47.13,Hours,us-west-2,data,mobile-api,development,cluster-355273
2026-01-19,EKS,76.9794,87.67,Hours,eu-west-1,infra,analytics,staging,cluster-754241
2026-01-19,EKS,62.3401,22.02,Hours,eu-west-1,data,mobile-api,production,cluster-650879
2026-01-19,EKS,81.4302,13.59,Hours,us-west-2,frontend,ml-pipeline,staging,cluster-163767
2026-01-19,EKS,70.9063,10.84,Hours,ap-southeast-1,frontend,analytics,production,cluster-772998
2026-01-19,ElastiCache,32.0418,27.72,Hours,ap-southeast-1,frontend,platform,staging,cache-609846
2026-01-19,ElastiCache,26.9531,71.53,Hours,ap-southeast-1,data,mobile-api,development,cache-227242
2026-01-19,ElastiCache,55.6909,41.29,Hours,ap-southeast-1,backend,analytics,staging,cache-574907
2026-01-19,ElastiCache,35.4467,22.43,Hours,ap-southeast-1,infra,ml-pipeline,development,cache-204669
2026-01-19,ElastiCache,26.2321,68.18,Hours,us-east-1,data,analytics,staging,cache-695862
2026-01-19,Route53,5.1587,66.38,Queries,us-west-2,ml,analytics,production,res-290290
2026-01-19,Route53,1.7395,84.66,Queries,us-west-2,backend,mobile-api,production,res-691840
2026-01-19,Route53,3.8962,51.38,Queries,us-west-2,infra,mobile-api,development,res-143120
2026-01-19,Route53,1.8213,22.41,Queries,us-east-1,ml,analytics,production,res-577508
2026-01-19,Route53,1.4598,34.15,Queries,eu-west-1,infra,mobile-api,production,res-911969
2026-01-19,SNS,4.2593,7.31,Requests,us-east-1,frontend,ml-pipeline,production,res-728445
2026-01-19,SNS,4.5831,29.31,Requests,us-west-2,frontend,analytics,development,res-882083
2026-01-19,SNS,2.3126,56.17,Requests,us-west-2,ml,platform,staging,res-121546
2026-01-19,SNS,2.6295,59.71,Requests,us-west-2,frontend,analytics,production,res-897383
2026-01-19,SQS,3.9295,91.61,Requests,us-west-2,ml,web-app,production,res-137881
2026-01-19,SQS,7.3749,73.44,Requests,us-west-2,frontend,platform,production,res-587262
2026-01-19,SQS,5.192,36.22,Requests,eu-west-1,frontend,web-app,staging,res-195935
2026-01-19,API Gateway,9.109,54.42,Requests,us-west-2,ml,analytics,production,res-826174
2026-01-19,API Gateway,4.9959,17.53,Requests,ap-southeast-1,infra,analytics,development,res-295506
2026-01-19,API Gateway,19.5337,47.06,Requests,us-east-1,ml,mobile-api,production,res-394164
2026-01-19,Secrets Manager,2.4741,33.38,Secrets,us-west-2,ml,web-app,development,res-756356
2026-01-19,Secrets Manager,4.0249,67.84,Secrets,ap-southeast-1,backend,mobile-api,development,res-309038
2026-01-19,Secrets Manager,4.4573,70.6,Secrets,us-east-1,data,web-app,development,res-378186
2026-01-19,Secrets Manager,3.1722,5.05,Secrets,us-east-1,infra,analytics,staging,res-715998
2026-01-19,Secrets Manager,1.9805,8.51,Secrets,eu-west-1,backend,ml-pipeline,development,res-913245
2026-01-20,EC2,22.541,18.93,Hours,us-east-1,data,web-app,development,i-421296
2026-01-20,EC2,76.3861,32.66,Hours,ap-southeast-1,frontend,mobile-api,production,i-602428
2026-01-20,EC2,90.4966,11.05,Hours,us-east-1,ml,web-app,production,i-647314
2026-01-20,EC2,33.7782,9.9,Hours,us-west-2,infra,ml-pipeline,development,i-784693
2026-01-20,Lambda,12.6622,52.7,Requests,us-west-2,frontend,analytics,development,func-422512
2026-01-20,Lambda,15.9969,65.1,Requests,eu-west-1,frontend,ml-pipeline,staging,func-267102
2026-01-20,Lambda,18.3203,7.38,Requests,ap-southeast-1,ml,ml-pipeline,development,func-974008
2026-01-20,Lambda,15.2969,92.81,Requests,ap-southeast-1,infra,platform,staging,func-702778
2026-01-20,Lambda,2.0806,4.63,Requests,ap-southeast-1,frontend,platform,production,func-441108
2026-01-20,S3,26.8119,51.64,GB-Month,us-east-1,frontend,ml-pipeline,staging,res-290664
2026-01-20,S3,5.8677,13.12,GB-Month,us-west-2,ml,platform,staging,res-683283
2026-01-20,S3,33.3188,57.2,GB-Month,us-east-1,frontend,analytics,development,res-935443
2026-01-20,S3,39.9177,42.1,GB-Month,ap-southeast-1,backend,ml-pipeline,development,res-726517
2026-01-20,RDS,133.8535,11.3,Hours,eu-west-1,backend,analytics,staging,db-853030
2026-01-20,RDS,38.9271,4.85,Hours,eu-west-1,backend,platform,development,db-824379
2026-01-20,RDS,38.7644,64.15,Hours,us-east-1,frontend,analytics,production,db-197214
2026-01-20,RDS,63.167,40.62,Hours,eu-west-1,frontend,platform,production,db-853423
2026-01-20,RDS,48.268,5.79,Hours,ap-southeast-1,infra,analytics,development,db-802851
2026-01-20,DynamoDB,42.1226,33.64,WCU-Hours,us-west-2,ml,analytics,production,res-588963
2026-01-20,DynamoDB,77.2893,81.73,WCU-Hours,us-west-2,ml,ml-pipeline,development,res-406965
2026-01-20,DynamoDB,75.0542,35.71,WCU-Hours,us-east-1,frontend,platform,production,res-815482
2026-01-20,CloudWatch,15.6846,45.49,Metrics,us-west-2,backend,ml-pipeline,production,res-171185
2026-01-20,CloudWatch,12.2681,34.32,Metrics,ap-southeast-1,backend,ml-pipeline,staging,res-827705
2026-01-20,CloudWatch,8.6063,76.48,Metrics,us-east-1,ml,platform,development,res-630194
2026-01-20,CloudFront,10.4525,98.26,GB,us-east-1,ml,ml-pipeline,staging,res-569730
2026-01-20,CloudFront,23.0716,60.62,GB,eu-west-1,frontend,analytics,production,res-202002
2026-01-20,CloudFront,12.8156,26.26,GB,us-west-2,ml,analytics,production,res-437405
2026-01-20,CloudFront,29.037,5.64,GB,ap-southeast-1,backend,web-app,production,res-424460
2026-01-20,CloudFront,8.1971,42.77,GB,eu-west-1,ml,web-app,production,res-879314
2026-01-20,EBS,33.1582,91.3,GB-Month,eu-west-1,ml,web-app,staging,res-793683
2026-01-20,EBS,34.9317,36.69,GB-Month,eu-west-1,frontend,analytics,production,res-858331
2026-01-20,EBS,21.9326,20.47,GB-Month,us-west-2,infra,web-app,staging,res-166836
2026-01-20,EBS,9.8039,92.97,GB-Month,us-east-1,frontend,analytics,development,res-385727
2026-01-20,EBS,17.192,93.27,GB-Month,eu-west-1,data,mobile-api,staging,res-541704
2026-01-20,EKS,125.9273,17.8,Hours,us-east-1,data,analytics,development,cluster-357660
2026-01-20,EKS,160.6802,3.27,Hours,us-east-1,frontend,ml-pipeline,development,cluster-743205
2026-01-20,EKS,104.8234,50.82,Hours,eu-west-1,frontend,ml-pipeline,development,cluster-611700
2026-01-20,ElastiCache,44.9813,59.34,Hours,us-east-1,ml,analytics,development,cache-262028
2026-01-20,ElastiCache,24.8526,33.69,Hours,ap-southeast-1,frontend,platform,development,cache-990975
2026-01-20,ElastiCache,24.9251,72.69,Hours,us-east-1,infra,analytics,staging,cache-218970
2026-01-20,ElastiCache,53.5769,25.38,Hours,us-west-2,infra,platform,production,cache-951766
2026-01-20,ElastiCache,20.4416,5.44,Hours,us-west-2,frontend,ml-pipeline,staging,cache-433453
2026-01-20,Route53,6.3352,4.34,Queries,ap-southeast-1,frontend,web-app,production,res-752585
2026-01-20,Route53,4.6984,76.8,Queries,us-east-1,ml,platform,development,res-346637
2026-01-20,Route53,8.4704,73.1,Queries,ap-southeast-1,infra,mobile-api,development,res-607813
2026-01-20,SNS,4.4654,34.52,Requests,ap-southeast-1,backend,ml-pipeline,staging,res-739531
2026-01-20,SNS,4.8004,34.51,Requests,us-east-1,infra,ml-pipeline,production,res-888047
2026-01-20,SNS,1.6223,47.43,Requests,ap-southeast-1,frontend,platform,staging,res-489616
2026-01-20,SQS,4.551,32.12,Requests,eu-west-1,backend,mobile-api,development,res-411107
2026-01-20,SQS,4.9672,77.31,Requests,eu-west-1,ml,platform,development,res-663265
2026-01-20,SQS,4.9657,41.79,Requests,eu-west-1,backend,ml-pipeline,staging,res-642651
2026-01-20,API Gateway,3.6377,7.44,Requests,ap-southeast-1,ml,ml-pipeline,staging,res-220373
2026-01-20,API Gateway,10.8626,93.04,Requests,ap-southeast-1,ml,ml-pipeline,staging,res-180026
2026-01-20,API Gateway,14.3131,7.4,Requests,us-east-1,infra,web-app,production,res-124303
2026-01-20,API Gateway,14.7139,72.65,Requests,us-east-1,infra,platform,development,res-334119
2026-01-20,API Gateway,8.5372,44.66,Requests,us-east-1,infra,analytics,development,res-777947
2026-01-20,Secrets Manager,3.4485,29.62,Secrets,eu-west-1,frontend,mobile-api,staging,res-528366
2026-01-20,Secrets Manager,6.0264,88.4,Secrets,us-west-2,infra,ml-pipeline,development,res-305877
2026-01-20,Secrets Manager,9.9549,93.25,Secrets,ap-southeast-1,frontend,platform,production,res-604543
2026-01-21,EC2,50.8178,3.23,Hours,us-west-2,ml,analytics,production,i-459582
2026-01-21,EC2,47.324,62.82,Hours,eu-west-1,ml,mobile-api,production,i-170915
2026-01-21,EC2,32.7573,88.21,Hours,us-east-1,data,web-app,development,i-977275
2026-01-21,EC2,47.1073,90.85,Hours,us-west-2,infra,web-app,development,i-396475
2026-01-21,Lambda,7.6875,9.61,Requests,us-east-1,data,web-app,production,func-897714
2026-01-21,Lambda,21.089,73.48,Requests,us-west-2,infra,web-app,staging,func-737613
2026-01-21,Lambda,12.8283,82.14,Requests,eu-west-1,backend,web-app,staging,func-329084
2026-01-21,Lambda,15.2844,74.18,Requests,eu-west-1,backend,analytics,staging,func-496074
2026-01-21,S3,32.308,7.07,GB-Month,us-east-1,data,analytics,development,res-268990
2026-01-21,S3,28.6069,96.85,GB-Month,eu-west-1,frontend,ml-pipeline,development,res-937561
2026-01-21,S3,44.3006,78.95,GB-Month,ap-southeast-1,frontend,platform,development,res-110215
2026-01-21,S3,41.7381,80.52,GB-Month,eu-west-1,ml,ml-pipeline,staging,res-602988
2026-01-21,RDS,98.0459,13.62,Hours,eu-west-1,ml,platform,development,db-697615
2026-01-21,RDS,266.1686,51.99,Hours,ap-southeast-1,frontend,ml-pipeline,staging,db-105287
2026-01-21,RDS,172.1201,86.3,Hours,us-west-2,ml,mobile-api,development,db-360086
2026-01-21,DynamoDB,15.0111,53.95,WCU-Hours,us-west-2,backend,mobile-api,staging,res-791160
2026-01-21,DynamoDB,37.1842,53.53,WCU-Hours,eu-west-1,backend,mobile-api,development,res-904199
2026-01-21,DynamoDB,64.6055,25.39,WCU-Hours,ap-southeast-1,frontend,platform,development,res-776193
2026-01-21,CloudWatch,14.579,30.27,Metrics,ap-southeast-1,backend,web-app,production,res-874084
2026-01-21,CloudWatch,9.1504,21.15,Metrics,us-east-1,frontend,ml-pipeline,staging,res-451896
2026-01-21,CloudWatch,11.6195,19.41,Metrics,eu-west-1,data,platform,staging,res-630597
2026-01-21,CloudFront,15.921,72.7,GB,us-east-1,backend,ml-pipeline,development,res-641448
2026-01-21,CloudFront,5.7819,49.56,GB,eu-west-1,ml,analytics,staging,res-623779
2026-01-21,CloudFront,28.9116,32.97,GB,us-east-1,backend,ml-pipeline,production,res-249864
2026-01-21,CloudFront,16.7669,67.47,GB,us-west-2,ml,web-app,development,res-191104
2026-01-21,EBS,17.314,72.94,GB-Month,us-east-1,data,web-app,development,res-929521
2026-01-21,EBS,17.8367,38.74,GB-Month,us-east-1,infra,web-app,production,res-628898
2026-01-21,EBS,24.4107,39.56,GB-Month,us-east-1,backend,ml-pipeline,development,res-759466
2026-01-21,EBS,10.5997,19.53,GB-Month,eu-west-1,infra,web-app,development,res-368281
2026-01-21,EKS,94.1965,86.14,Hours,eu-west-1,data,platform,development,cluster-969071
2026-01-21,EKS,84.7617,51.77,Hours,us-west-2,infra,web-app,staging,cluster-254253
2026-01-21,EKS,195.3645,37.61,Hours,us-east-1,data,ml-pipeline,development,cluster-755582
2026-01-21,ElastiCache,14.728,76.79,Hours,eu-west-1,backend,platform,production,cache-507150
2026-01-21,ElastiCache,42.7887,21.21,Hours,us-west-2,frontend,web-app,production,cache-436841
2026-01-21,ElastiCache,54.0492,40.97,Hours,us-east-1,backend,mobile-api,staging,cache-694726
2026-01-21,ElastiCache,36.2482,81.41,Hours,eu-west-1,data,web-app,production,cache-153985
2026-01-21,ElastiCache,53.4167,54.57,Hours,ap-southeast-1,infra,web-app,staging,cache-353041
2026-01-21,Route53,4.1806,53.62,Queries,ap-southeast-1,infra,platform,staging,res-856385
2026-01-21,Route53,6.6891,48.34,Queries,us-west-2,frontend,mobile-api,development,res-840643
2026-01-21,Route53,8.1919,44.36,Queries,ap-southeast-1,data,mobile-api,production,res-842319
2026-01-21,SNS,3.2558,2.78,Requests,us-west-2,frontend,ml-pipeline,development,res-166899
2026-01-21,SNS,3.7884,81.48,Requests,us-west-2,ml,mobile-api,development,res-511337
2026-01-21,SNS,3.8882,87.43,Requests,us-west-2,frontend,ml-pipeline,production,res-416000
2026-01-21,SNS,4.4759,69.19,Requests,us-east-1,ml,mobile-api,staging,res-390946
2026-01-21,SQS,2.9271,79.94,Requests,eu-west-1,ml,platform,development,res-537691
2026-01-21,SQS,3.9755,84.91,Requests,us-east-1,ml,web-app,production,res-748218
2026-01-21,SQS,5.6685,52.87,Requests,eu-west-1,ml,web-app,staging,res-434916
2026-01-21,SQS,1.8521,86.48,Requests,ap-southeast-1,backend,analytics,development,res-878199
2026-01-21,API Gateway,9.4516,13.94,Requests,eu-west-1,ml,ml-pipeline,staging,res-376663
2026-01-21,API Gateway,14.9848,99.15,Requests,ap-southeast-1,backend,ml-pipeline,development,res-663628
2026-01-21,API Gateway,15.3009,23.97,Requests,us-west-2,data,analytics,staging,res-525048
2026-01-21,API Gateway,13.2604,49.97,Requests,ap-southeast-1,frontend,mobile-api,development,res-147735
2026-01-21,API Gateway,2.4664,78.66,Requests,us-east-1,backend,analytics,staging,res-143131
2026-01-21,Secrets Manager,5.6992,69.08,Secrets,eu-west-1,backend,mobile-api,staging,res-400910
2026-01-21,Secrets Manager,2.8554,24.3,Secrets,eu-west-1,ml,web-app,staging,res-275348
2026-01-21,Secrets Manager,1.486,34.8,Secrets,us-east-1,infra,ml-pipeline,development,res-885793
2026-01-21,Secrets Manager,1.2752,61.06,Secrets,us-west-2,infra,platform,development,res-385099
2026-01-22,EC2,137.0308,50.93,Hours,us-west-2,backend,ml-pipeline,staging,i-824574
2026-01-22,EC2,108.0476,8.32,Hours,us-east-1,infra,web-app,staging,i-305721
2026-01-22,EC2,104.5598,92.08,Hours,ap-southeast-1,ml,web-app,production,i-323839
2026-01-22,Lambda,12.155,32.33,Requests,ap-southeast-1,ml,ml-pipeline,production,func-489052
2026-01-22,Lambda,3.5993,71.99,Requests,ap-southeast-1,backend,web-app,production,func-384776
2026-01-22,Lambda,10.1661,51.99,Requests,ap-southeast-1,backend,ml-pipeline,staging,func-833301
2026-01-22,Lambda,17.6848,72.41,Requests,eu-west-1,frontend,mobile-api,development,func-777242
2026-01-22,Lambda,15.2957,25.93,Requests,eu-west-1,backend,ml-pipeline,production,func-814301
2026-01-22,S3,26.7587,40.62,GB-Month,us-west-2,ml,platform,development,res-509094
2026-01-22,S3,43.4988,42.08,GB-Month,ap-southeast-1,data,platform,production,res-486392
2026-01-22,S3,43.8784,11.75,GB-Month,us-east-1,data,web-app,development,res-124236
2026-01-22,S3,25.5061,10.25,GB-Month,eu-west-1,data,web-app,staging,res-399730
2026-01-22,RDS,183.2949,68.74,Hours,ap-southeast-1,frontend,web-app,development,db-926382
2026-01-22,RDS,138.8703,66.09,Hours,us-west-2,infra,mobile-api,development,db-651533
2026-01-22,RDS,137.481,78.91,Hours,us-west-2,ml,mobile-api,development,db-342663
2026-01-22,RDS,86.6791,14.61,Hours,us-east-1,backend,mobile-api,production,db-505677
2026-01-22,DynamoDB,52.3896,55.05,WCU-Hours,us-east-1,data,platform,production,res-323774
2026-01-22,DynamoDB,43.3148,66.44,WCU-Hours,us-east-1,ml,platform,staging,res-181595
2026-01-22,DynamoDB,36.7358,50.57,WCU-Hours,eu-west-1,backend,mobile-api,production,res-447046
2026-01-22,CloudWatch,9.304,92.56,Metrics,eu-west-1,data,mobile-api,development,res-132229
2026-01-22,CloudWatch,3.7839,42.39,Metrics,us-west-2,data,platform,production,res-552220
2026-01-22,CloudWatch,4.3963,12.43,Metrics,ap-southeast-1,ml,ml-pipeline,production,res-171516
2026-01-22,CloudWatch,1.4442,58.76,Metrics,us-east-1,infra,mobile-api,development,res-263241
2026-01-22,CloudFront,12.0409,7.4,GB,us-east-1,data,ml-pipeline,staging,res-340757
2026-01-22,CloudFront,20.2896,30.61,GB,eu-west-1,ml,ml-pipeline,staging,res-576460
2026-01-22,CloudFront,10.5142,52.07,GB,us-east-1,frontend,web-app,staging,res-529686
2026-01-22,CloudFront,11.8334,42.42,GB,ap-southeast-1,infra,ml-pipeline,staging,res-445877
2026-01-22,EBS,17.8389,73.8,GB-Month,us-west-2,backend,web-app,production,res-427560
2026-01-22,EBS,7.6095,73.76,GB-Month,us-east-1,backend,web-app,production,res-643607
2026-01-22,EBS,21.5353,83.19,GB-Month,us-east-1,ml,platform,development,res-995000
2026-01-22,EBS,26.9701,20.57,GB-Month,ap-southeast-1,ml,ml-pipeline,staging,res-966778
2026-01-22,EBS,8.4854,70.81,GB-Month,eu-west-1,backend,mobile-api,production,res-698465
2026-01-22,EKS,166.6494,77.28,Hours,us-east-1,backend,ml-pipeline,staging,cluster-712799
2026-01-22,EKS,175.4692,57.58,Hours,ap-southeast-1,data,analytics,development,cluster-764655
2026-01-22,EKS,102.3171,51.91,Hours,us-west-2,infra,mobile-api,staging,cluster-759039
2026-01-22,ElastiCache,25.6928,23.02,Hours,eu-west-1,backend,ml-pipeline,production,cache-981086
2026-01-22,ElastiCache,45.077,69.71,Hours,us-east-1,infra,analytics,production,cache-665688
2026-01-22,ElastiCache,26.3027,53.18,Hours,eu-west-1,frontend,web-app,production,cache-814130
2026-01-22,ElastiCache,25.4162,60.67,Hours,us-east-1,frontend,mobile-api,development,cache-197146
2026-01-22,ElastiCache,45.298,53.98,Hours,us-east-1,frontend,ml-pipeline,production,cache-322512
2026-01-22,Route53,3.4527,71.03,Queries,us-west-2,infra,ml-pipeline,production,res-476797
2026-01-22,Route53,1.9462,92.88,Queries,ap-southeast-1,data,ml-pipeline,production,res-305535
